iter	RMSE
0	601.7403374
1	571.2967571
2	542.5094167
3	517.1452616
4	492.4642134
5	470.6769284
6	448.6516895
7	429.7521068
8	411.7085141
9	393.7470975
10	378.1754445
11	363.5204097
12	349.2847996
13	336.2963212
14	324.9627615
15	313.2697383
16	302.9951846
17	293.2747372
18	284.1182426
19	275.7386906
20	268.0889732
21	260.6735455
22	253.8549687
23	247.598593
24	241.7130864
25	236.1719062
26	230.4464739
27	225.7157473
28	224.6227838
29	220.2335771
30	216.542461
31	215.4881021
32	214.4754287
33	213.4733472
34	212.589703
35	211.718241
36	210.8207989
37	206.4768484
38	205.6130901
39	204.7006603
40	203.8884748
41	200.4302723
42	199.7009871
43	196.2787083
44	193.8524042
45	192.7872572
46	192.0660687
47	191.2848752
48	190.5815184
49	189.9736858
50	188.2244064
51	187.5747789
52	186.9716124
53	185.2606421
54	184.6816442
55	184.0498465
56	183.5122271
57	181.2443804
58	180.7323902
59	180.2209735
60	178.6014407
61	177.7637661
62	177.3146041
63	176.875611
64	176.4517997
65	175.1479905
66	174.7727103
67	172.9013553
68	172.269769
69	171.8421686
70	170.4013551
71	169.977205
72	169.5993365
73	167.6622328
74	167.1441344
75	166.782807
76	166.4645168
77	165.8601931
78	165.2079141
79	163.8137866
80	163.2647019
81	162.8988423
82	162.6314096
83	161.289957
84	160.9905009
85	160.4022957
86	160.161002
87	159.8435734
88	158.0153006
89	156.1427729
90	155.946645
91	155.5642254
92	155.3292723
93	154.8687429
94	154.636573
95	154.3985547
96	154.190085
97	153.2283956
98	152.9387865
99	152.3630667
100	152.1337056
101	150.8808063
102	150.7080958
103	149.3488283
104	149.1620373
105	148.9541195
106	148.7671399
107	148.4883934
108	148.3179871
109	147.9052973
110	146.5369586
111	146.370874
112	146.1827125
113	144.9326352
114	144.7765341
115	144.4529333
116	144.2869216
117	143.3625025
118	143.2023575
119	142.9738149
120	142.8352307
121	142.163346
122	141.9685495
123	141.7887861
124	141.6709508
125	141.5330902
126	140.3481917
127	140.0381291
128	139.7998301
129	139.543796
130	139.2690072
131	139.0134617
132	138.3553634
133	138.1764541
134	137.5995768
135	137.3635794
136	137.2492103
137	136.9975178
138	136.889759
139	135.8994353
140	134.6940392
141	133.3597104
142	133.0175902
143	132.9088531
144	132.806304
145	131.8491306
146	130.9789056
147	130.8808394
148	130.7827683
149	130.5892735
150	129.8993241
151	129.7740969
152	129.602932
153	129.1077404
154	129.0086137
155	128.7268562
156	128.0735103
157	127.9806188
158	127.8198425
159	127.5383102
160	127.4009066
161	126.5695011
162	126.4802069
163	126.2371299
164	126.1601889
165	125.7491458
166	125.6427435
167	125.5679636
168	125.3847355
169	125.1031811
170	125.0312402
171	124.1075157
172	123.8830977
173	123.8132779
174	123.6305154
175	123.5627293
176	123.4368215
177	123.3713602
178	123.1283077
179	122.9413964
180	122.8344765
181	122.0072595
182	121.780639
183	121.7167327
184	121.1009208
185	121.0060465
186	120.8615584
187	120.8002491
188	120.690939
189	120.4844963
190	119.9020913
191	119.8420696
192	119.7243395
193	119.3149387
194	119.2572836
195	119.0467485
196	118.865078
197	118.7574406
198	118.3645803
199	118.3087446
200	118.116687
201	117.8492736
202	117.6337429
203	117.5791318
204	117.4938438
205	117.3134943
206	117.1572745
207	117.1041575
208	117.0061524
209	116.8311105
210	116.6836614
211	116.5869952
212	116.4454776
213	116.3086838
214	116.2565197
215	116.1060551
216	115.9814245
217	115.873053
218	115.6688831
219	115.5257276
220	115.4744732
221	115.3593094
222	115.2453284
223	115.137304
224	115.0871308
225	114.5044761
226	114.4089241
227	114.3596903
228	114.2636062
229	114.2157582
230	114.1361388
231	114.0150582
232	113.9684242
233	113.8838534
234	113.7335024
235	113.5081349
236	113.4042175
237	113.3585709
238	113.2475896
239	113.1803023
240	113.1356285
241	113.0631656
242	112.8871271
243	112.7995201
244	112.6315185
245	112.5417764
246	112.4977574
247	112.3619159
248	112.2012605
249	112.158046
250	112.115754
251	112.0742135
252	111.9638942
253	111.809441
254	111.6683547
255	111.570893
256	111.5301263
257	111.3910982
258	110.6832989
259	110.6428732
260	110.6031734
261	110.501602
262	110.1127875
263	110.0737945
264	109.9869105
265	109.9171987
266	109.5534554
267	109.5150136
268	109.3312003
269	109.25342
270	109.2155162
271	109.1781292
272	109.057592
273	108.9819832
274	108.9015869
275	108.4736363
276	108.3711026
277	108.3338399
278	108.2972229
279	107.9779757
280	107.9017732
281	107.8655377
282	107.7963769
283	107.6551729
284	107.6194363
285	107.5841816
286	107.5143775
287	107.4796179
288	107.3572092
289	107.2965087
290	107.2240283
291	107.1062751
292	106.7910713
293	106.7564228
294	106.7223006
295	106.6884825
296	106.655041
297	106.590557
298	106.5575734
299	106.5248958
300	106.2904751
301	106.219412
302	106.1870239
303	106.0734607
304	105.9641339
305	105.8858084
306	105.824089
307	105.7920476
308	105.7602961
309	105.728941
310	105.6533726
311	105.5837767
312	105.195622
313	105.0865429
314	105.0552957
315	104.7134637
316	104.6397985
317	104.6090018
318	104.5433514
319	104.4740372
320	104.3683746
321	104.1317011
322	103.9441912
323	103.9136824
324	103.8451675
325	103.6489343
326	103.5844909
327	103.5541041
328	103.4918506
329	103.4619701
330	102.9084856
331	102.8090433
332	102.7450864
333	102.6498402
334	102.6201396
335	102.527269
336	102.4640778
337	102.1717748
338	102.1421986
339	102.1131329
340	102.0231965
341	101.964183
342	101.8398813
343	101.811064
344	101.7498971
345	101.7214029
346	101.6659856
347	101.6378014
348	101.553233
349	101.5252402
350	101.438185
351	101.3583437
352	101.3306603
353	101.2764294
354	101.1961838
355	101.1689222
356	101.1418796
357	101.0776033
358	101.0508261
359	100.9899669
360	100.9354432
361	100.9088986
362	100.8825697
363	100.8565094
364	100.6102996
365	100.5284038
366	100.327413
367	100.2727843
368	100.2468493
369	100.1786056
370	100.1033977
371	100.0304386
372	100.0049375
373	99.93418796
374	99.89376147
375	99.81706774
376	99.59695969
377	99.5714702
378	99.41033699
379	99.3850382
380	99.36013292
381	99.31125133
382	99.26022832
383	99.23567999
384	99.21133226
385	98.91003332
386	98.85292571
387	98.63445605
388	98.61004609
389	98.56133595
390	98.53734903
391	98.51362412
392	98.49005025
393	98.43568334
394	98.35967986
395	98.33633947
396	98.18459001
397	98.11467295
398	98.09143538
399	98.04775586
400	97.9441768
401	97.92114612
402	97.82130591
403	97.74131797
404	97.68737838
405	97.61953168
406	97.55312881
407	97.53021997
408	97.19725072
409	97.12804354
410	97.09204714
411	97.03197965
412	96.97923684
413	96.88994879
414	96.8670985
415	96.80393699
416	96.78130196
417	96.72917788
418	96.66204868
419	96.63968534
420	96.59359506
421	96.57143882
422	96.53466833
423	96.47305484
424	96.41320296
425	96.39133423
426	96.34614684
427	96.32457047
428	96.28034651
429	96.25891757
430	96.22456986
431	96.03138642
432	96.00961804
433	95.95764049
434	95.93621196
435	95.84142675
436	95.77547577
437	95.73759249
438	95.65327991
439	95.63211695
440	95.56991676
441	95.54897809
442	95.20660983
443	95.18523057
444	95.16424903
445	95.11627349
446	95.09557625
447	95.03223664
448	94.99394212
449	94.95083373
450	94.93027444
451	94.86912599
452	94.61689649
453	94.58988341
454	94.56937315
455	94.50402408
456	94.44659612
457	94.29430562
458	94.24198991
459	94.22171173
460	94.20155181
461	93.80128128
462	93.74175577
463	93.69105036
464	93.67098527
465	93.63821912
466	93.61841365
467	93.57702029
468	93.55734062
469	93.52654647
470	93.50544504
471	93.48469166
472	93.3006658
473	93.28125936
474	93.22542794
475	93.16961674
476	93.11463679
477	93.05785527
478	92.77403889
479	92.75486353
480	92.73587583
481	92.71706689
482	92.6775943
483	92.60218613
484	92.25364062
485	92.19896807
486	92.03185294
487	91.85135526
488	91.75664399
489	91.73760799
490	91.6751339
