iter	Passed	Remaining
0	119	119862
1	176	88069
2	225	74953
3	278	69342
4	333	66327
5	388	64441
6	445	63178
7	499	61941
8	550	60647
9	600	59405
10	648	58303
11	693	57068
12	745	56571
13	792	55803
14	835	54864
15	878	54024
16	929	53730
17	977	53308
18	1038	53616
19	1091	53476
20	1134	52897
21	1190	52904
22	1240	52708
23	1292	52569
24	1350	52668
25	1397	52367
26	1450	52262
27	1502	52142
28	1553	52025
29	1608	52023
30	1658	51834
31	1707	51660
32	1748	51230
33	1797	51076
34	1847	50931
35	1910	51167
36	1962	51088
37	2020	51156
38	2078	51221
39	2138	51329
40	2188	51191
41	2245	51218
42	2302	51233
43	2355	51184
44	2406	51068
45	2456	50938
46	2506	50815
47	2552	50625
48	2601	50488
49	2640	50167
50	2682	49924
51	2738	49924
52	2786	49791
53	2830	49592
54	2882	49518
55	2926	49337
56	2967	49098
57	3019	49037
58	3067	48916
59	3117	48842
60	3175	48875
61	3222	48757
62	3277	48744
63	3325	48634
64	3369	48471
65	3421	48418
66	3476	48404
67	3521	48265
68	3548	47881
69	3574	47484
70	3599	47095
71	3624	46716
72	3650	46352
73	3677	46018
74	3703	45671
75	3728	45329
76	3755	45016
77	3781	44702
78	3807	44388
79	3834	44099
80	3862	43818
81	3887	43520
82	3913	43233
83	3939	42960
84	3965	42689
85	3991	42425
86	4017	42160
87	4043	41901
88	4071	41671
89	4098	41440
90	4124	41200
91	4150	40965
92	4183	40802
93	4221	40688
94	4251	40500
95	4278	40285
96	4304	40069
97	4330	39856
98	4361	39694
99	4390	39514
100	4416	39308
101	4442	39107
102	4467	38909
103	4493	38715
104	4519	38522
105	4545	38340
106	4571	38151
107	4597	37968
108	4623	37796
109	4649	37621
110	4677	37458
111	4703	37288
112	4730	37130
113	4756	36967
114	4782	36801
115	4816	36708
116	4846	36573
117	4872	36422
118	4898	36263
119	4923	36106
120	4949	35955
121	4975	35806
122	5000	35655
123	5026	35510
124	5051	35363
125	5077	35216
126	5104	35088
127	5131	34957
128	5157	34820
129	5182	34686
130	5217	34608
131	5253	34545
132	5279	34415
133	5305	34288
134	5332	34164
135	5358	34040
136	5384	33918
137	5410	33797
138	5436	33677
139	5472	33619
